Gene	sgRNA	eff
ZNF512	sgRNA053637	1
MYO18B	sgRNA054078	1
MYO18B	sgRNA054076	1
MYO18B	sgRNA054075	1
MYO18B	sgRNA054077	1
ABHD14B	sgRNA054259	1
ABHD14B	sgRNA054261	1
ABHD14B	sgRNA054262	1
ABHD14B	sgRNA054260	1
MINA	sgRNA054295	1
MINA	sgRNA054298	1
MINA	sgRNA054296	1
MINA	sgRNA054297	1
RGS8	sgRNA054871	1
RGS8	sgRNA054873	1
RGS8	sgRNA054874	1
RGS8	sgRNA054872	1
UNC5A	sgRNA055369	1
UNC5A	sgRNA055367	1
UNC5A	sgRNA055370	1
UNC5A	sgRNA055368	1
ZNF625	sgRNA055546	1
ZNF625	sgRNA055545	1
ZNF625	sgRNA055544	1
ZNF625	sgRNA055543	1
ZNF765	sgRNA055934	1
ZNF765	sgRNA055935	1
ZNF765	sgRNA055933	1
ZNF765	sgRNA055936	1
MEX3A	sgRNA056201	1
MEX3A	sgRNA056202	1
MEX3A	sgRNA056204	1
MEX3A	sgRNA056203	1
PLCD3	sgRNA056919	1
PLCD3	sgRNA056918	1
PLCD3	sgRNA056917	1
PLCD3	sgRNA056920	1
C12orf57	sgRNA056974	1
C12orf57	sgRNA056973	1
C12orf57	sgRNA056975	1
C12orf57	sgRNA056976	1
EFHC1	sgRNA057118	1
EFHC1	sgRNA057119	1
EFHC1	sgRNA057120	1
EFHC1	sgRNA057117	1
PNMA5	sgRNA057276	1
PNMA5	sgRNA057275	1
PNMA5	sgRNA057274	1
PNMA5	sgRNA057273	1
ATG4A	sgRNA057431	1
ATG4A	sgRNA057429	1
ATG4A	sgRNA057430	1
ATG4A	sgRNA057432	1
GBP4	sgRNA057478	1
GBP4	sgRNA057480	1
GBP4	sgRNA057479	1
GBP4	sgRNA057477	1
ZNF526	sgRNA057647	1
ZNF526	sgRNA057646	1
ZNF526	sgRNA057648	1
ZNF526	sgRNA057645	1
ARAP2	sgRNA057862	1
ARAP2	sgRNA057861	1
ARAP2	sgRNA057864	1
ARAP2	sgRNA057863	1
LOH12CR1	sgRNA058006	1
LOH12CR1	sgRNA058005	1
LOH12CR1	sgRNA058007	1
LOH12CR1	sgRNA058008	1
SNX20	sgRNA058745	1
SNX20	sgRNA058748	1
SNX20	sgRNA058747	1
SNX20	sgRNA058746	1
ZNF491	sgRNA059024	1
ZNF491	sgRNA059023	1
ZNF491	sgRNA059022	1
ZNF491	sgRNA059021	1
OR6K6	sgRNA059531	1
OR6K6	sgRNA059529	1
OR6K6	sgRNA059532	1
OR6K6	sgRNA059530	1
SETD9	sgRNA060146	1
SETD9	sgRNA060145	1
SETD9	sgRNA060148	1
SETD9	sgRNA060147	1
LYPD2	sgRNA060497	1
LYPD2	sgRNA060500	1
LYPD2	sgRNA060498	1
LYPD2	sgRNA060499	1
PIP5KL1	sgRNA060591	1
PIP5KL1	sgRNA060592	1
PIP5KL1	sgRNA060590	1
PIP5KL1	sgRNA060589	1
VTI1A	sgRNA061148	1
VTI1A	sgRNA061145	1
VTI1A	sgRNA061147	1
VTI1A	sgRNA061146	1
OR51E1	sgRNA061197	1
OR51E1	sgRNA061198	1
OR51E1	sgRNA061200	1
OR51E1	sgRNA061199	1
ZNF565	sgRNA061904	1
ZNF565	sgRNA061901	1
ZNF565	sgRNA061902	1
ZNF565	sgRNA061903	1
PHF13	sgRNA062034	1
PHF13	sgRNA062033	1
PHF13	sgRNA062035	1
PHF13	sgRNA062036	1
FAM109B	sgRNA062325	1
FAM109B	sgRNA062326	1
FAM109B	sgRNA062328	1
FAM109B	sgRNA062327	1
CMC1	sgRNA062617	1
CMC1	sgRNA062619	1
CMC1	sgRNA062620	1
CMC1	sgRNA062618	1
CAMSAP1	sgRNA063084	1
CAMSAP1	sgRNA063083	1
CAMSAP1	sgRNA063081	1
CAMSAP1	sgRNA063082	1
MOSPD2	sgRNA063210	1
MOSPD2	sgRNA063209	1
MOSPD2	sgRNA063211	1
MOSPD2	sgRNA063212	1
PHOSPHO1	sgRNA063526	1
PHOSPHO1	sgRNA063528	1
PHOSPHO1	sgRNA063525	1
PHOSPHO1	sgRNA063527	1
KBTBD12	sgRNA063879	1
KBTBD12	sgRNA063880	1
KBTBD12	sgRNA063877	1
KBTBD12	sgRNA063878	1
OLIG3	sgRNA063976	1
OLIG3	sgRNA063973	1
OLIG3	sgRNA063975	1
OLIG3	sgRNA063974	1
GLIS3	sgRNA064092	1
GLIS3	sgRNA064090	1
GLIS3	sgRNA064089	1
GLIS3	sgRNA064091	1
PLAC4	sgRNA064317	1
PLAC4	sgRNA064318	1
PLAC4	sgRNA064320	1
PLAC4	sgRNA064319	1
AGO3	sgRNA064344	1
AGO3	sgRNA064341	1
AGO3	sgRNA064343	1
AGO3	sgRNA064342	1
APOBEC3A	sgRNA064693	1
APOBEC3A	sgRNA064695	1
APOBEC3A	sgRNA064696	1
APOBEC3A	sgRNA064694	1
TCTE1	sgRNA065002	1
TCTE1	sgRNA065003	1
TCTE1	sgRNA065004	1
TCTE1	sgRNA065001	1
OR6Q1	sgRNA065449	1
OR6Q1	sgRNA065452	1
OR6Q1	sgRNA065451	1
OR6Q1	sgRNA065450	1
TTLL10	sgRNA066424	1
TTLL10	sgRNA066421	1
TTLL10	sgRNA066423	1
TTLL10	sgRNA066422	1
MPV17L	sgRNA066546	1
MPV17L	sgRNA066545	1
MPV17L	sgRNA066547	1
MPV17L	sgRNA066548	1
SUN3	sgRNA066836	1
SUN3	sgRNA066834	1
SUN3	sgRNA066835	1
SUN3	sgRNA066833	1
RNF214	sgRNA066869	1
RNF214	sgRNA066871	1
RNF214	sgRNA066870	1
RNF214	sgRNA066872	1
TAB3	sgRNA066911	1
TAB3	sgRNA066909	1
TAB3	sgRNA066912	1
TAB3	sgRNA066910	1
ZNF843	sgRNA067544	1
